"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Giorno A","15 giu 2026, 18:46","15 giu 2026, 20:02","","Rematore al Cavo da Seduto",,"",1,"normal",25,8,,0,
"Giorno A","15 giu 2026, 18:46","15 giu 2026, 20:02","","Rematore al Cavo da Seduto",,"",2,"normal",25,8,,0,
"Giorno A","15 giu 2026, 18:46","15 giu 2026, 20:02","","Rematore al Cavo da Seduto",,"",3,"normal",25,8,,0,
"Giorno A","15 giu 2026, 18:46","15 giu 2026, 20:02","","Stacco Rumeno a Gamba Singola (Manubrio)",,"",0,"normal",20,10,,0,
"Giorno A","15 giu 2026, 18:46","15 giu 2026, 20:02","","Stacco Rumeno a Gamba Singola (Manubrio)",,"",1,"normal",20,10,,0,
"Giorno A","15 giu 2026, 18:46","15 giu 2026, 20:02","","Stacco Rumeno a Gamba Singola (Manubrio)",,"",2,"normal",20,10,,0,
"Giorno A","15 giu 2026, 18:46","15 giu 2026, 20:02","","Aperture Laterali (Manubrio)",,"",0,"normal",4,12,,0,
"Giorno A","15 giu 2026, 18:46","15 giu 2026, 20:02","","Aperture Laterali (Manubrio)",,"",1,"normal",4,12,,0,
"Giorno A","15 giu 2026, 18:46","15 giu 2026, 20:02","","Aperture Laterali (Manubrio)",,"",2,"normal",4,12,,0,
"Giorno A","15 giu 2026, 18:46","15 giu 2026, 20:02","","Aperture Laterali (Manubrio)",,"",3,"normal",4,12,,0,
"Giorno A","15 giu 2026, 18:46","15 giu 2026, 20:02","","Estensione Dorso (Ipertensione con Peso)",,"",0,"normal",8,11,,0,
"Giorno A","15 giu 2026, 18:46","15 giu 2026, 20:02","","Estensione Dorso (Ipertensione con Peso)",,"",1,"normal",8,11,,0,
"Giorno A","15 giu 2026, 18:46","15 giu 2026, 20:02","","Estensione Dorso (Ipertensione con Peso)",,"",2,"normal",8,11,,0,
"Giorno A","15 giu 2026, 18:46","15 giu 2026, 20:02","","Calf Raise Gamba Singola in Piedi ",,"",0,"normal",,23,,0,
"Giorno A","15 giu 2026, 18:46","15 giu 2026, 20:02","","Calf Raise Gamba Singola in Piedi ",,"",1,"normal",,15,,0,
"Giorno A","15 giu 2026, 18:46","15 giu 2026, 20:02","","Calf Raise Gamba Singola in Piedi ",,"",2,"normal",,13,,0,
"Giorno C","12 giu 2026, 18:36","12 giu 2026, 19:54","","Ponte Glutei",,"",0,"normal",,20,,0,
"Giorno C","12 giu 2026, 18:36","12 giu 2026, 19:54","","Plank",,"",0,"normal",,0,,56,
"Giorno C","12 giu 2026, 18:36","12 giu 2026, 19:54","","Stacco da Terra Rumeno (Bilanciere)",,"",0,"normal",47,6,,0,
"Giorno C","12 giu 2026, 18:36","12 giu 2026, 19:54","","Stacco da Terra Rumeno (Bilanciere)",,"",1,"normal",47,6,,0,
"Giorno C","12 giu 2026, 18:36","12 giu 2026, 19:54","","Stacco da Terra Rumeno (Bilanciere)",,"",2,"normal",47,6,,0,
"Giorno C","12 giu 2026, 18:36","12 giu 2026, 19:54","","Stacco da Terra Rumeno (Bilanciere)",,"",3,"normal",47,6,,0,
"Giorno C","12 giu 2026, 18:36","12 giu 2026, 19:54","","Hip Thrust (macchina)",,"",0,"normal",40,6,,0,
"Giorno C","12 giu 2026, 18:36","12 giu 2026, 19:54","","Hip Thrust (macchina)",,"",1,"normal",40,6,,0,
"Giorno C","12 giu 2026, 18:36","12 giu 2026, 19:54","","Hip Thrust (macchina)",,"",2,"normal",40,6,,0,
"Giorno C","12 giu 2026, 18:36","12 giu 2026, 19:54","","Affondo Bulgaro",,"",0,"normal",8,10,,0,
"Giorno C","12 giu 2026, 18:36","12 giu 2026, 19:54","","Affondo Bulgaro",,"",1,"normal",8,10,,0,
"Giorno C","12 giu 2026, 18:36","12 giu 2026, 19:54","","Affondo Bulgaro",,"",2,"normal",8,10,,0,
"Giorno C","12 giu 2026, 18:36","12 giu 2026, 19:54","","Estensioni Glutei al Cavo",,"",0,"normal",10,11,,0,
"Giorno C","12 giu 2026, 18:36","12 giu 2026, 19:54","","Estensioni Glutei al Cavo",,"",1,"normal",10,11,,0,
"Giorno C","12 giu 2026, 18:36","12 giu 2026, 19:54","","Estensioni Glutei al Cavo",,"",2,"normal",10,11,,0,
"Giorno C","12 giu 2026, 18:36","12 giu 2026, 19:54","","Leg Curl Seduto (Macchina)",,"",0,"normal",30,13,,0,
"Giorno C","12 giu 2026, 18:36","12 giu 2026, 19:54","","Leg Curl Seduto (Macchina)",,"",1,"normal",30,13,,0,
"Giorno C","12 giu 2026, 18:36","12 giu 2026, 19:54","","Leg Curl Seduto (Macchina)",,"",2,"normal",30,13,,0,
"Giorno B","9 giu 2026, 18:34","9 giu 2026, 19:42","","Plank",,"",0,"normal",,0,,47,
"Giorno B","9 giu 2026, 18:34","9 giu 2026, 19:42","","Lat Pulldown (Cavo)",,"",0,"normal",40,7,,0,
"Giorno B","9 giu 2026, 18:34","9 giu 2026, 19:42","","Lat Pulldown (Cavo)",,"",1,"normal",40,7,,0,
"Giorno B","9 giu 2026, 18:34","9 giu 2026, 19:42","","Lat Pulldown (Cavo)",,"",2,"normal",40,7,,0,
"Giorno B","9 giu 2026, 18:34","9 giu 2026, 19:42","","Lat Pulldown (Cavo)",,"",3,"normal",40,7,,0,
"Giorno B","9 giu 2026, 18:34","9 giu 2026, 19:42","","Lento in Avanti (Manubrio)",,"",0,"normal",10,6,,0,
"Giorno B","9 giu 2026, 18:34","9 giu 2026, 19:42","","Lento in Avanti (Manubrio)",,"",1,"normal",10,6,,0,
"Giorno B","9 giu 2026, 18:34","9 giu 2026, 19:42","","Lento in Avanti (Manubrio)",,"",2,"normal",10,6,,0,
"Giorno B","9 giu 2026, 18:34","9 giu 2026, 19:42","","Lento in Avanti (Manubrio)",,"",3,"normal",10,5,,0,
"Giorno B","9 giu 2026, 18:34","9 giu 2026, 19:42","","Rematore al Cavo da Seduto - Presa Larga",,"",0,"normal",20,13,,0,
"Giorno B","9 giu 2026, 18:34","9 giu 2026, 19:42","","Rematore al Cavo da Seduto - Presa Larga",,"",1,"normal",20,13,,0,
"Giorno B","9 giu 2026, 18:34","9 giu 2026, 19:42","","Rematore al Cavo da Seduto - Presa Larga",,"",2,"normal",20,10,,0,
"Giorno B","9 giu 2026, 18:34","9 giu 2026, 19:42","","Curl Bicipiti con EZ Bar",,"",0,"normal",2.5,10,,0,
"Giorno B","9 giu 2026, 18:34","9 giu 2026, 19:42","","Curl Bicipiti con EZ Bar",,"",1,"normal",2.5,10,,0,
"Giorno B","9 giu 2026, 18:34","9 giu 2026, 19:42","","Curl Bicipiti con EZ Bar",,"",2,"normal",2.5,10,,0,
"Giorno B","9 giu 2026, 18:34","9 giu 2026, 19:42","","Pushdown Tricipiti con Corda",,"",0,"normal",10,8,,0,
